Borrower_ID,Lender_final_count,LenderID_ordered_by_lending,Lender_Geo_Location,Lender_HomeTown
411637,186,adamcoole,41.5887985229492 -93.6203002929688,"Des Moines, IA, United States"
411637,186,suzanne133,40.8656005859375 -73.5323028564453,"Oyster Bay, NY, United States"
411637,186,larry641,,", , "
411637,186,caroljane396,32.7187995910645 -117.164001464844,"San Diego, CA, United States"
411637,186,marisa676,42.3588981628418 -71.0569000244141,"Boston, Massachusetts, United States"
411637,186,scott5558717,,", , "
411637,186,michael923,32.533489 -117.018204,"Tijuana, Baja California, Mexico"
411637,186,joy930,,", , "
411637,186,carlos964,41.0551986694336 -73.5309982299805,"Stamford, CT, United States"
411637,186,donna726,40.6363983154297 -74.9096984863281,"Clinton, NJ, United States"
411637,186,daniel570,39.7551002502441 -104.987998962402,"Denver, CO, United States"
411637,186,milie698,46.812801361084 -71.215202331543,"Quebec, Quebec, Canada"
411637,186,jeff758,37.7751998901367 -122.418998718262,"San Francisco, CA, United States"
411637,186,barb568,48.4275 -123.367259,"Victoria, , Canada"
411637,186,virginia595,36.1589012145996 -86.782096862793,"Nashville, TN, United States"
411637,186,gmc,51.4552993774414 -2.59190011024475,"Bristol, , United Kingdom"
411637,186,aidan816,41.2785987854004 -72.5271987915039,"Clinton, CT, United States"
411637,186,michelle984,,", , "
411637,186,justindawn915,34.1459007263184 -118.13200378418,"Pasadena, CA, United States"
411637,186,paul8791650,49.2651645 7.6414464,"Donsieders, Rhineland-Palatinate, Germany"
411637,186,jennifer6044302,,", , "
411637,186,marilyn9421668,42.6702995300293 -88.5411987304688,"Elkhorn, Wisconsin, United States"
411637,186,kate550,52.9551010131836 -1.14930999279022,", Nottingham, United Kingdom"
411637,186,midlandhighChemic,43.6260986328125 -84.2274017333984,"Midland, MI, United States"
411637,186,melissa707,40.7453002929688 -73.9057998657227,"Woodside, NY, United States"
411637,186,brian839,42.0476989746094 -87.8860015869141,"Des Plaines, IL, United States"
411637,186,allen823,37.7751998901367 -122.418998718262,"San Francisco, CA, United States"
411637,186,joke720,51.9622001647949 5.42536020278931,"Maurik, Gelderland, Netherlands"
411637,186,francine908,51.9225997924805 4.4707498550415,"Rotterdam, Zuid-Holland, Netherlands"
411637,186,daniela606,55.378101348877 -3.43597006797791,", , United Kingdom"
411637,186,john882,13.452108 144.7631754,"Yigo, GU, United States"
411637,186,stephen491,51.5001983642578 -0.126236006617546,"London, London, United Kingdom"
411637,186,lori348,41.8795013427734 -87.6242980957031,"Chicago, IL, United States"
411637,186,robert699,27.3384990692139 -82.5279006958008,"sarasota, FL, United States"
411637,186,cecilia895,,"D\\u00fcsseldorf, , Germany"
411637,186,tor425,60.3880996704102 5.33185005187988,"Bergen, Hordaland, Norway"
411637,186,AstridVanDerVleu,52.0783004760742 4.31366014480591,"Den Haag, Zuid Holland, Netherlands"
411637,186,daphne992,-37.7164001464844 145.00700378418,"Reservoir, Victoria, Australia"
411637,186,canamex121,53.7100982666016 -113.212997436523,"Fort Saskatchewan, Alberta, Canada"
411637,186,dorina895,46.8181991577148 8.22751045227051,", , Switzerland"
411637,186,manfred168,51.165699005127 10.4514999389648,", , Germany"
411637,186,WC,,", , "
411637,186,kellen989,,", , "
411637,186,shirley190,29.7600002288818 -95.3625030517578,"Houston, Texas, United States"
411637,186,tim263,44.8488006591797 -93.4600982666016,"Eden Prairie, MN, United States"
411637,186,laura4750550,,", , "
411637,186,marilyn857,35.081298828125 -106.626998901367,"Albuquerque, NM, United States"
411637,186,brio,45.6268997192383 9.32651996612549,"Arcore, Milano, Italy"
411637,186,robert1914678,55.378101348877 -3.43597006797791,", , United Kingdom"
411637,186,diane4238709,54.4986991882324 -115.000999450684,", Alberta, Canada"
411637,186,AIS,29.3117008209229 47.4818000793457,", Kuwait, Kuwait"
411637,186,monica289,39.7685155 -86.1580736,"Indianapolis, Indiana, United States"
411637,186,henry107,34.2787017822266 -81.6100997924805,"Newberry, SC, United States"
411637,186,karen679,36.8265991210938 -119.700996398926,"Clovis, CA, United States"
411637,186,shree805,37.7141454 -122.25,"LOTUS Team, Bay Area, CA, United States"
411637,186,ze,23.6977996826172 120.960998535156,", , Taiwan"
411637,186,carolin536,51.165699005127 10.4514999389648,", , Germany"
411637,186,jamie4322243,37.0901985168457 -95.7128982543945,", , United States"
411637,186,rob825,39.7551002502441 -104.987998962402,"Denver, CO, United States"
411637,186,lowell164,41.8795013427734 -87.6242980957031,"Chicago, IL, United States"
411637,186,lorraine280,,", , "
411637,186,marjorie440,34.3898162 -118.5642291,"Valencia, CA, United States"
411637,186,nancy328,38.2560997009277 -85.7515029907227,"Louisville, KY, United States"
411637,186,sainzca,52.5234985351562 13.4114999771118,"Berlin, , Germany"
411637,186,beverly938,33.0345993041992 -96.5145034790039,"Wylie, TX, United States"
411637,186,judy177,,", , "
411637,186,grahambutto,39.8019981384277 -105.077003479004,"Arvada, CO, United States"
411637,186,nancy7277236,38.2560997009277 -85.7515029907227,"Louisville, KY, United States"
411637,186,erin484,41.7673105 -75.0562785,"Callicoon, New York, United States"
411637,186,jennel,18.4664993286133 -66.1183013916016,"San Juan , PR, Puerto Rico"
411637,186,silvan518,,", , "
411637,186,yeuxbleu,47.181327 8.459319,"Cham, Zug, Switzerland"
411637,186,nathalie553,49.815299987793 6.12958002090454,", , Luxembourg"
411637,186,nancy316,29.4249992370605 -98.4936981201172,"San Antonio, TX, United States"
411637,186,kohawkrache,58.3637008666992 -134.572006225586,"Juneau, AK, United States"
411637,186,nancy514,,", , "
411637,186,zdf,34.4234008789062 -119.704002380371,"Santa Barbara, CA, United States"
411637,186,norman578,33.6278991699219 -117.651000976562,"Mission Viejo, Ca, United States"
411637,186,divinedaughtersunite202,34.4477005004883 -119.247001647949,"Ojai, CA, United States"
411637,186,stephen686,37.2790985107422 -121.956001281738,"Campbell, CA, United States"
411637,186,sandeepsingh285,37.7749295 -122.4194155,"San francisco, CA, United States"
411637,186,amanda126,28.5531997680664 -81.3644027709961,"Orlando, FL, United States"
411637,186,shinichi330,35.7107215 139.8014968,"Tokyo, Sumida-ku, Japan"
411637,186,lisa742,48.6488990783691 -123.400001525879,"Sidney, BC, Canada"
411637,186,kemp,35.8628005981445 -92.0998992919922,"Mountain View, AR, United States"
411637,186,sharon5513201,44.9775009155273 -93.2643966674805,"Minneapolis, MN, United States"
411637,186,erik987,,", , "
411637,186,jamesclayton948,-22.9034996032715 -43.2095985412598,"Rio de Janeiro, RJ, Brazil"
411637,186,jim231,45.5238990783691 -122.669998168945,"Portland, OR, United States"
411637,186,nathan,37.7723007202148 -122.214996337891,"Oakland, CA, United States"
411637,186,SyedImra,50.4348983764648 -104.653999328613,"Regina, SK, Canada"
411637,186,neil10,28.5531997680664 -81.3644027709961,"Orlando, FL, United States"
411637,186,jean254,34.038501739502 -84.3431015014648,"Roswell, GA, United States"
411637,186,lora566,37.0901985168457 -95.7128982543945,", , United States"
411637,186,gavin416,,", , "
411637,186,oriai,47.6209983825684 -122.34700012207,"Seattle, WA, United States"
411637,186,attilia978,37.0901985168457 -95.7128982543945,", , United States"
411637,186,sebz0,49.4846992492676 8.47671985626221,"Mannheim, BW, Germany"
411637,186,valerie772,39.7495994567871 -105.216003417969,"Golden, CO, United States"
411637,186,pacemammasofsan901,37.7751998901367 -122.418998718262,"San Francisco, CA, United States"
411637,186,barry361,42.0751991271973 -87.7322998046875,"Wilmette, IL, United States"
411637,186,stianedvin309,60.379234 11.538123,"Sagstua, Hedmark, Norway"
411637,186,annandfintan468,39.0904006958008 -94.5837020874023,"KANSAS CITY, MO, United States"
411637,186,jessica646,38.5527992248535 -121.735000610352,"Davis, CA, United States"
411637,186,brian3432121,51.0536994934082 -114.061996459961,"Calgary, Alberta, Canada"
411637,186,auinger987,48.4318384 10.4060318,"Burgau, , Germany"
411637,186,betty173,52.4830017089844 -1.89356005191803,"Birmingham, , United Kingdom"
411637,186,yasar509,,", , "
411637,186,ali955,23.6086006164551 58.5922012329102,", Muscat, Oman"
411637,186,birgit113,48.2092018127441 16.3728008270264,"Vienna, , Austria"
411637,186,env,53.0750007629395 8.80708026885986,"Bremen, , Germany"
411637,186,jodee316,,", , "
411637,186,beverl,49.263599395752 -123.138999938965,"Vancouver, British Columbia, Canada"
411637,186,finners453,55.378101348877 -3.43597006797791,", , United Kingdom"
411637,186,saenge,53.0750007629395 8.80708026885986,"Bremen, , Germany"
411637,186,vedra999,,", , "
411637,186,fiorenzo850,45.4393871 10.6920548,"PESCHIERA DEL GARDA, Verona, "
411637,186,leo408,51.5551986694336 5.09065008163452,"Tilburg, Noord-Brabant, Netherlands"
411637,186,tim8177930,37.2960014343262 -93.4144973754883,"Willard, MO, United States"
411637,186,Sabbelbine72,50.6820331 5.4888433,", Belgium &, Germany"
411637,186,leanne616,34.0522003173828 -118.24299621582,"Los Angeles, CA, United States"
411637,186,helen682,-33.7869719 115.9843839,"Balingup, Western Australia, Australia"
411637,186,wim192,52.1566009521484 5.38891983032227,"Amersfoort, , Netherlands"
411637,186,chris280,32.4509010314941 -99.7639007568359,"Abilene, Texas, United States"
411637,186,john679,61.9240989685059 25.7481994628906,", , Finland"
411637,186,woushyang204,48.7979011535645 2.50295996665955,"Saint Maur des Fosses, , France"
411637,186,beth928,41.5887985229492 -93.6203002929688,"Des Moines, IA, United States"
411637,186,stevethomso,49.263599395752 -123.138999938965,"Vancouver, British Columbia, Canada"
411637,186,robert593,,", , "
411637,186,bengt594,,"G\\u00f6teborg, , Sweden"
411637,186,susan9195661,51.0536994934082 -114.061996459961,"Calgary, Alberta, Canada"
411637,186,oddrunhelene307,,", , "
411637,186,marci101,39.5961990356445 -105.00700378418,"Littleton, CO, United States"
411637,186,seana855,36.9779014587402 -122.032997131348,"Santa Cruz, CA, United States"
411637,186,elizabeth653,43.0620994567871 -89.4008026123047,"Madison, Wisconsin, United States"
411637,186,chris175,38.831667 -78.316667,"Bentonville, VA, United States"
411637,186,marisa986,48.8567008972168 2.35099005699158,"Paris, , France"
411637,186,jasonmargaretauror,51.0536994934082 -114.061996459961,"Calgary, Alberta, Canada"
411637,186,sabine784,,", , "
411637,186,kristine745,32.7187995910645 -117.164001464844,"San Diego, CA, United States"
411637,186,tim447,37.8043637 -122.2711137,"Oakland, California, United States"
411637,186,karen662,33.448299407959 -112.073997497559,"Phoenix, AZ, United States"
411637,186,brock322,56.1304016113281 -106.34700012207,", , Canada"
411637,186,lisa1998777,37.7751998901367 -122.418998718262,"San Francisco, CA, United States"
411637,186,bas680,52.0817985534668 5.03659009933472,"De Meern, , Netherlands"
411637,186,judie178,,", , "
411637,186,shonaandmarc362,-34.9258003234863 138.600006103516,"Adelaide , , Australia"
411637,186,timandmonique297,40.2971000671387 -111.694999694824,"Orem, UT, United States"
411637,186,devin283,33.9658012390137 -118.037002563477,"Whittier, CA, United States"
411637,186,andi225,38.6603012084961 -90.5795974731445,"Chesterfield, MO, United States"
411637,186,durwood553,36.3131076 -86.8652772,"Joelton, TN, United States"
411637,186,mike7906500,40.0418014526367 -76.2998962402344,"Lancaster, PA, United States"
411637,186,angela995,43.6702003479004 -79.3868026733398,"Toronto, Ontario, Canada"
411637,186,omar311,35.79154 -78.7811169,"Cary, NC, United States"
411637,186,yogi951,37.5485992431641 -121.987998962402,"Fremont, CA, United States"
411637,186,leah451,37.0901985168457 -95.7128982543945,", , United States"
411637,186,aaro445,,"Jyv\\u00e4skyl\\u00e4, , Finland"
411637,186,samar285,37.7751998901367 -122.418998718262,"San Francisco, CA, United States"
411637,186,peter165,53.540901184082 -113.494003295898,"Edmonton, AB, Canada"
411637,186,karen5283881,,", , "
411637,186,sarahanne284,45.5238990783691 -122.669998168945,"Portland, OR, United States"
411637,186,nullplu,51.165699005127 10.4514999389648,", , Germany"
411637,186,jordanliberma,32.7187995910645 -117.164001464844,"San Diego, CA, United States"
411715,27,mary801,37.2691993713379 -119.306999206543,", California, United States"
411715,27,gogsro,37.3860517 -122.0838511,"Mountain View, CA, United States"
411715,27,rose164,38.6717987060547 -121.150001525879,"Folsom, CA, United States"
411715,27,rachel992,-37.2485008239746 144.453002929688,"Kyneton, Victoria, Australia"
411715,27,evan441,,", , "
411715,27,suzy157,,", , "
411715,27,robert9289725,,", , "
411715,27,david505,44.230598449707 -71.6175003051758,"Deerfield, NH, United States"
411715,27,henry107,34.2787017822266 -81.6100997924805,"Newberry, SC, United States"
411715,27,karen679,36.8265991210938 -119.700996398926,"Clovis, CA, United States"
411715,27,neil10,28.5531997680664 -81.3644027709961,"Orlando, FL, United States"
411715,27,SyedImra,50.4348983764648 -104.653999328613,"Regina, SK, Canada"
411715,27,ali955,23.6086006164551 58.5922012329102,", Muscat, Oman"
411715,27,jerome505,58.9608993530273 5.73245000839233,"Hafrsfjord, Rogaland, Norway"
411715,27,vera900,49.8358993530273 -124.521003723145,"Powell River, BC, Canada"
411715,27,lori348,41.8795013427734 -87.6242980957031,"Chicago, IL, United States"
411715,27,kivaatconferece199,56.1304016113281 -106.34700012207,", , Canada"
411715,27,tonje617,62.7405014038086 7.16406011581421,"Molde, , Norway"
411715,27,anders514,59.9137992858887 10.7386999130249,"Oslo, , Norway"
411715,27,bill178,32.7811012268066 -96.7970962524414,"Dallas, TX, United States"
411715,27,ariel615,37.5121994018555 -122.293998718262,"Belmont, CA, United States"
411715,27,edmund,43.6547012329102 -70.2623977661133,"Portland, ME, United States"
411715,27,PreethaSrin,29.8015995025635 -95.817497253418,"Katy, TX, United States"
411715,27,maninder489,,", , "
411715,27,KivaKa,37.4346008300781 -121.888000488281,"Milpitas, CA, United States"
411715,27,jason258,41.1916999816895 -73.1969985961914,"Bridgeport, CT, United States"
411715,27,sander586,53.214900970459 6.56775999069214,"Groningen, , Netherlands"
411737,41,ken719,-34.9258003234863 138.600006103516,"Adelaide, SA, Australia"
411737,41,gale219,34.0522003173828 -118.24299621582,"Los Angeles, CA, United States"
411737,41,schul,43.6702003479004 -79.3868026733398,"Toronto, Ontario, Canada"
411737,41,jim344,48.6488990783691 -123.400001525879,"Sidney, BC, Canada"
411737,41,marilyn879,41.719898223877 -72.8317031860352,"Farmington, CT, United States"
411737,41,bobby423,35.8522987365723 -86.4010009765625,"Murfreesboro, TN, United States"
411737,41,gliderkin,32.964298248291 -117.264999389648,"Del Mar, CA, United States"
411737,41,duncan515,37.5573997497559 -122.358001708984,"Hillsborough, CA, United States"
411737,41,darrel556,43.5499749 -96.700327,"Sioux Falls, SD, United States"
411737,41,bellasgoodkarma815,-25.2744007110596 133.774993896484,", , Australia"
411737,41,almuth794,53.0750007629395 8.80708026885986,"Bremen, , Germany"
411737,41,vitalimager,43.7433013916016 -81.2505035400391,"Brussels, Ontario, Canada"
411737,41,kivaatconferece199,56.1304016113281 -106.34700012207,", , Canada"
411737,41,robert693,47.6209983825684 -122.34700012207,"Seattle, WA, United States"
411737,41,davidandbarbara388,,", , "
411737,41,colin6,-27.4675998687744 153.02799987793,"Brisbane, QLD, Australia"
411737,41,lkb,30.267153 -97.7430608,"Austin, Tx, United States"
411737,41,gracesteveandvincent295,28.0548992156982 -81.9572982788086,"Lakeland, FL, United States"
411737,41,cpaleadtro,36.2330017089844 -115.241996765137,"Las Vegas, NV, United States"
411737,41,david5730623,,", , "
411737,41,sandeepsingh285,37.7749295 -122.4194155,"San francisco, CA, United States"
411737,41,sarah258,43.6702003479004 -79.3868026733398,"Toronto, Ontario, Canada"
411737,41,robby439,,", , "
411737,41,david507,51.5073346 -0.1276831,"London, England, United Kingdom"
411737,41,bixler219,37.0901985168457 -95.7128982543945,", , United States"
411737,41,elizabeth2102952,,", , "
411737,41,amirali540,32.7811012268066 -96.7970962524414,"DALLAS, TEXAS, United States"
411737,41,kerry450,32.7940651 -79.8625851,"Mt.Pleasant, , SC, United States"
411737,41,sarah8307902,46.0943984985352 -64.7751998901367,"Moncton, New Brunswick, Canada"
411737,41,iolair,38.8815994262695 -77.1033020019531,"Arlington, VA, United States"
411737,41,judy5475835,,", , "
411737,41,adrian177,35.081298828125 -106.626998901367,"Albuquerque, NM, United States"
411737,41,kathy769,45.5238990783691 -122.669998168945,"Portland, OR, United States"
411737,41,john414,,", , "
411737,41,martin695,32.3207015991211 -106.772003173828,"Las Cruces, NM, United States"
411737,41,veronica298,26.5846996307373 -80.0605010986328,"Lantana, FL, United States"
411737,41,mike970,53.5522994995117 -113.141998291016,"Ardrossan, Alberta, Canada"
411737,41,deanna240,48.4275016784668 -123.366996765137,"Victoria, British Columbia, Canada"
411737,41,amin383,35.7393192 51.3898492,"Tehran, Tehran, Iran, Islamic Republic of"
411737,41,jerry733,41.8795013427734 -87.6242980957031,"Chicago, IL, United States"
411737,41,john954,42.1147994995117 -88.0485992431641,"Palatine, IL, United States"
412411,27,karin343,34.608699798584 -98.3904037475586,"Lawton, Oklahoma, United States"
412411,27,trolltech446,59.9137992858887 10.7386999130249,"Oslo, , Norway"
412411,27,kellen989,,", , "
412411,27,jangoyvaert,7.9843109 98.3307468,", Phuket, Thailand"
412411,27,ellenk622,37.059700012207 -76.3658981323242,"Hampton, VA, United States"
412411,27,hungrycactu,37.2691993713379 -119.306999206543,", CA, United States"
412411,27,charles307,42.7845993041992 -83.2424011230469,"Lake Orion, MI, United States"
412411,27,pavel716,50.0877990722656 14.4204998016357,"Prague, , Czech Republic"
412411,27,PreethaSrin,29.8015995025635 -95.817497253418,"Katy, TX, United States"
412411,27,penny860,30.2686996459961 -97.7452011108398,"Austin, TX, United States"
412411,27,silyar,37.0901985168457 -95.7128982543945,", , United States"
412411,27,elizabeth520,37.0901985168457 -95.7128982543945,", , United States"
412411,27,michael349,40.7560005187988 -73.9869003295898,"New York, NY, United States"
412411,27,georgie460,53.540901184082 -113.494003295898,"Edmonton, Alberta, Canada"
412411,27,noa932,40.7560005187988 -73.9869003295898,"New York, NY, United States"
412411,27,barbara186,40.5161018371582 -88.995002746582,"Normal, IL, United States"
412411,27,beverl,49.263599395752 -123.138999938965,"Vancouver, British Columbia, Canada"
412411,27,bob473,32.781078 -96.797111,"Dallas, , United States"
412411,27,rubenkwas,52.2207984924316 6.89113998413086,"Enschede, Overijssel, Netherlands"
412411,27,gooddogg,39.7484118 -104.9982557,"Front Porch , , "
412411,27,TeamLOTU,47.516231 14.550072,"LOTUS: Lend Out To Uplift Self-sufficiency, at Kiva.org, "
412411,27,r392,37.763500213623 -122.439002990723,"Bay Area, CA, United States"
412411,27,foreclosedjapa,34.6937378 135.5021651,"Osaka, , Japan"
412411,27,shree805,37.7141454 -122.25,"LOTUS Team, Bay Area, CA, United States"
412411,27,lkb,30.267153 -97.7430608,"Austin, Tx, United States"
412411,27,diane4238709,54.4986991882324 -115.000999450684,", Alberta, Canada"
412411,27,jouko194,60.5610395 21.6170204,"Taivassalo, Suomi, "
413865,14,gooddogg,39.7484118 -104.9982557,"Front Porch , , "
413865,14,shree805,37.7141454 -122.25,"LOTUS Team, Bay Area, CA, United States"
413865,14,sean463,48.2325095 -101.2962732,"Minot, North Dakota, United States"
413865,14,greatnorthernstaff756,45.5238990783691 -122.669998168945,"Portland, OR, United States"
413865,14,diane356,49.2644004821777 -84.7477035522461,", Ontario, Canada"
413865,14,graeme940,-38.3441009521484 144.304000854492,"Jan Juc, Victoria, Australia"
413865,14,jordan545,39.5173988342285 -104.786003112793,"Parker, CO, United States"
413865,14,don611,34.9247016906738 -80.7435989379883,"Waxhaw, NC, United States"
413865,14,bennett886,,", , "
413865,14,shawna244,32.7696990966797 -117.025001525879,"La Mesa, CA, United States"
413865,14,annmarie961,34.1012992858887 -84.519401550293,"Woodstock, GA, United States"
413865,14,janette430,42.7578010559082 -71.4638977050781,"Nashua, NH, United States"
413865,14,santos398,40.7143528 -74.0059731,", NY, United States"
413865,14,steven406,47.3073997497559 -122.228996276855,"Auburn, WA, United States"
414656,19,karen179,33.5820007324219 -111.900001525879,"Scottsdale, AZ, United States"
414656,19,shree805,37.7141454 -122.25,"LOTUS Team, Bay Area, CA, United States"
414656,19,yasu804,36.2047996520996 138.253005981445,", , Japan"
414656,19,thomas708,39.5173645019531 -104.785980224609,"Parker, Colorado, United States"
414656,19,nigel503,3.13899993896484 101.686996459961,"Kuala Lumpur, Selangor, Malaysia"
414656,19,lea907,33.448299407959 -112.073997497559,"Phoenix, Az, United States"
414656,19,dale271,35.2332992553711 -106.611000061035,"Corrales, NM, United States"
414656,19,rhyan524,,", , "
414656,19,ashfaque949,37.3692016601562 -122.037002563477,"Sunnyvale, CA, United States"
414656,19,david706,35.6531982421875 -97.4814987182617,"Edmond, Oklahoma, United States"
414656,19,nealkapu,33.6525001525879 -117.918998718262,"Costa Mesa, CA, United States"
414656,19,juleebe,12.879721 121.774017,", , Philippines"
414656,19,fabian785,50.7327003479004 7.09631013870239,"Bonn, , Germany"
414656,19,lars226,51.165699005127 10.4514999389648,", , Germany"
414656,19,Marc,47.4999008178711 8.72616004943848,"Winterthur, , Switzerland"
414656,19,sandy205,,", , "
414656,19,richard2768269,53.3875007629395 -6.24477005004883,"Swords, County Dublin, Ireland"
414656,19,damienlynch7,51.8978655 -8.4710941,"Kilworth, Co Cork, Ireland"
414656,19,pap,42.9705009460449 -85.6686019897461,"Grand Rapids, MI, United States"
414841,37,gooddogg,39.7484118 -104.9982557,"Front Porch , , "
