"Hilversum, Noord Holland, Netherlands"
"Calgary, Ab.     T2K 1L7, Canada"
"Blairsville, Ga, United States"
"Ch\\u00e2tillon, Hts de seine, France"
"Manaus, AM, Brazil"
"Steyr, O\\u00d6, Austria"
"Forest Hills,  NY, United States"
"Jyv\\u00e4skyl\\u00e4, Keski-Suomi, Finland"
"N. Stonington, CT, United States"
"M\\u00fcnchen, Bayern, Germany"
"Sch\\u00f6nenberg, , Switzerland"
"Sanaa'a, Yemen, Yemen"
"Narre Warren South, Victoria, Australia"
"Orl\\u00e9ans, , France"
"Mauer, Baden-W\\u00fcrttemberg, Germany"
"houston, Texas, United States"
"Bargara, Queensland, Australia"
"76646 Bruchsal, Baden-W\\u00fcrttemberg, Germany"
"OVERMERE, , Belgium"
"Houten, Utrecht http:\\\/\\\/www.kivafriends.org, Netherlands"
"Kinshasa, Ngaliema, The Democratic Republic of the Congo"
"HAARLEM, , Netherlands"
"Kakegawa, Shizuoka, Japan"
"Adelaide, SOUTH AUSTRALIA, Australia"
"Saint Peter, MN, United States"
"Tecumseh, Nebraska, United States"
"Sealy, TX, United States"
"Riverdale, New York, United States"
"7th heaven, , "
"norrk\\u00f6ping, sweden, Sweden"
"K\\u00f8benhavn V, , Denmark"
"Mt Warren Park, QLD, Australia"
"M\\u00fcnster, , Germany"
"Rad\\u00f8y, , Norway"
"Blantyre, Blantyre, Malawi"
"Jeddah , NA, Saudi Arabia"
"Bude, Cornwall, United Kingdom"
"Str\\u00f8mmen, Akershus, Norway"
"Pompano Beach, FL, "
"Stockholm, Stockholms L\\u00e4n, Sweden"
", Treviso, Italy"
"Monterrey, Nuevo Le\\u00f3n, Mexico"
"Greenland, NH, United States"
"Luino, Varese, Italy"
"PICKERING, ON, Canada"
"Ciudad Juarez, Chihuahua, "
"Greensburg, Pennsylvania, United States"
"London, n\\\/a, United Kingdom"
"Chipping Norton, NSW, Australia"
"waxhaw, nc, United States"
"New Denver, British Columbia, Canada"
"Little Washington, North Carolina, United States"
"Chalon s\\\/s, , France"
"Set\\u00fabal, , Portugal"
"Miami, Fl., United States"
"http:\\\/\\\/KivaFriends.org, s hertogenbosch, Netherlands"
"Z\\u00fcrich, , Switzerland"
"Pembury, Kent, United Kingdom"
"Isdalsto, Hordaland, Norway"
"auburn, AL, United States"
"V\\u00e4stra Fr\\u00f6lunda, , Sweden"
"Breakeyville, Quebec, Canada"
"Pageland, SC, United States"
"MISHAWAKA, IN, United States"
"Kanazawa, Ishikawa, Japan"
"Chadstone Centre, Victoria, Australia"
"Cardiff, S. Glamorgan, United Kingdom"
"Winnsboro, SC, United States"
"Sutton, AK, United States"
"Lampertheim, Hessen, Germany"
"Lalbenque, , France"
"Lancing, Tennessee, United States"
"Trysil, , Norway"
"Trollh\\u00e4ttan, , Sweden"
"k\\u00f8benhavn, k\\u00f8benhavn, Denmark"
"http:\\\/\\\/KivaFriends.org Alexandria, VA, United States"
"Everett, Washington, "
"Lucas, Kentucky, United States"
"chisasibi, quebec, Canada"
"H\\u00e4sselby, Stockholms L\\u00e4n, Sweden"
"N\\u00e6stved, , Denmark"
"arenas de san pedro, avila, Spain"
"Norrk\\u00f6ping, , Sweden"
"k\\u00f6ln, , Germany"
"http:\\\/\\\/KivaFriends.org, Worplesdon, Surrey, United Kingdom"
"\\u001a\\u001a\\u001a\\u001a, \\u001a\\u001a\\u001a, Japan"
"KL, , Malaysia"
"ogden, ut, United States"
"\\u00c5rhus C, , Denmark"
"Sikn\\u00e4s, T\\u00f6re, Sweden"
"V Fr\\u00f6lunda, , Sweden"
"Little Stanion, Northants, United Kingdom"
"SHJ, SHJ, United Arab Emirates"
"EAST BRISBANE, QLD, Australia"
"Malm\\u00f6, , Sweden"
"Taggerty, , Australia"
"fitchburg, MA, United States"
"Trebsen, , Germany"
"L\\u00fcbeck, Schleswig-Holstein, Germany"
"Ach\\u00e8res, , France"
"M\\u00fclheim an der Ruhr (near D\\u00fcsseldorf), NRW, Germany"
"Haubstadt, IN, United States"
"Covilh\\u00e3,  , Portugal"
"Zimmerman, Minnesota, United States"
"AROMAS, CA, United States"
"Good Hope, IL, Belize"
"Obetz, Ohio, United States"
"n\\u00fcrnberg, , Germany"
", Espa\\u00f1a, Spain"
"Irapuato, Guanajuato, Mexico"
", Qu\\u00e9bec, Canada"
"Montr\\u00e9al, Quebec, Canada"
"Wroc\\u0142aw, , Poland"
", \\u0141\\u00f3dzkie, Poland"
"Lichtenau, Baden-W\\u00fcrttemberg, Germany"
"Str\\u00f8mmen, , Norway"
"Quezon City, NCR, Philippines"
"http:\\\/\\\/www.kivafriends.org, New York, NY, United States"
"Buenos Aires, San Telmo, Argentina"
"Leesville, LA, United States"
"Lake Mills, IA, United States"
"N\\u00fcrnberg, Bavaria, Germany"
"Bras\\u00edlia, DF, Brazil"
"Sint-Katelijne-Waver, Antwerpen, Belgium"
"West Paducah, KY, United States"
"RC Limburgerhof\\\/Vorderpfalz, , Germany"
"Bois-Colombes, Ile-de-France, France"
"Tabilk, Victoria, Australia"
"S\\u00e3o Jos\\u00e9 dos Campos, Sao Paulo, Brazil"
"Cr\\u00e9teil, , France"
"Gen\\u00e8ve, GE, Switzerland"
"http:\\\/\\\/www.kivafriends.org, Malcantone, Switzerland"
", Earth      \\u9280\\u6cb3\\u7cfb, "
"aliquippa, pennsylvania, United States"
"MOA\\u00d1A, Pontevedra, Spain"
"Winterthur, Z\\u00fcrich, Switzerland"
"Milford, Michigan, United States"
"Mechancisville, Iowa, United States"
"D\\u00e4nikon, , Switzerland"
"Cd. de M\\u00e9xico, , Mexico"
"Bogor, , Indonesia"
"\\u001a\\u001a\\u001aMobara, Chiba, Japan"
"Maputo, , Mozambique"
"HERITAGE PARK, QLD, Australia"
"Lelystad, flevoland, Netherlands"
"Kemptville , Ontario, Canada"
"Douala, Littoral, Cameroon"
"reynoldsburg, OH, United States"
"St.Peter\\\/Au, , Austria"
"Mountlake Terrace, WA, , United States"
"camarillo, CA, United States"
"Suwon, Kyunggi-do, Korea, Republic of"
